Partner_id,Product_id,Similarity_Scores,Scheme_1,Scheme_2,Scheme_3
522_2,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
522_2,Modular Switches,0.33673469387755106,Discount,Loyalty,Bulk Purchase
522_2,PSS(Compact Sub-Stations),0.3287671232876712,Discount,Loyalty,Bulk Purchase
738_32,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
738_32,MCCB(Moduled Case Circuit Breaker),0.33673469387755106,Discount,Loyalty,Bulk Purchase
738_32,VCB(Vacuum Circuit Breaker),0.3287671232876712,Discount,Loyalty,Bulk Purchase
741_93,VCU(Vacuum Contactor Units),0.3552188552188552,Discount,Loyalty,Bulk Purchase
741_93,Modular Switches,0.34595524956970736,Discount,Loyalty,Bulk Purchase
741_93,PSS(Compact Sub-Stations),0.33274956217162877,Discount,Loyalty,Bulk Purchase
661_12,VCB(Vacuum Circuit Breaker),0.34595524956970736,Discount,Loyalty,Bulk Purchase
661_12,PSS(Compact Sub-Stations),0.3408304498269896,Discount,Loyalty,Bulk Purchase
661_12,SDF(Switch Disconnectors),0.3406408094435076,Discount,Bulk Purchase,Loyalty
412_22,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
412_22,VCB(Vacuum Circuit Breaker),0.33673469387755106,Discount,Loyalty,Bulk Purchase
412_22,BBT(Busbar Trunking),0.3287671232876712,Discount,Loyalty,Bulk Purchase
679_49,VCU(Vacuum Contactor Units),0.3552188552188552,Discount,Loyalty,Bulk Purchase
679_49,Modular Switches,0.34595524956970736,Discount,Loyalty,Bulk Purchase
679_49,PSS(Compact Sub-Stations),0.33274956217162877,Discount,Loyalty,Bulk Purchase
627_15,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
627_15,MCCB(Moduled Case Circuit Breaker),0.33673469387755106,Discount,Loyalty,Bulk Purchase
627_15,Modular Switches,0.3287671232876712,Discount,Loyalty,Bulk Purchase
514_64,VCU(Vacuum Contactor Units),0.3539518900343642,Discount,Loyalty,Bulk Purchase
514_64,Modular Switches,0.3447098976109215,Discount,Loyalty,Bulk Purchase
514_64,ACB(Air Circuit Breaker),0.34219269102990035,Discount,Loyalty,Bulk Purchase
860_10,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
860_10,MCCB(Moduled Case Circuit Breaker),0.33673469387755106,Discount,Loyalty,Bulk Purchase
860_10,Modular Switches,0.3287671232876712,Discount,Loyalty,Bulk Purchase
137_58,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
137_58,PSS(Compact Sub-Stations),0.33673469387755106,Discount,Loyalty,Bulk Purchase
137_58,VCB(Vacuum Circuit Breaker),0.3287671232876712,Discount,Loyalty,Bulk Purchase
812_59,VCU(Vacuum Contactor Units),0.34150612959719795,Discount,Loyalty,Bulk Purchase
812_59,PSS(Compact Sub-Stations),0.33673469387755106,Discount,Loyalty,Bulk Purchase
812_59,VCB(Vacuum Circuit Breaker),0.3287671232876712,Discount,Loyalty,Bulk Purchase
077_8,VCU(Vacuum Contactor Units),0.3552188552188552,Discount,Loyalty,Bulk Purchase
077_8,VCB(Vacuum Circuit Breaker),0.347972972972973,Discount,Loyalty,Bulk Purchase
077_8,BBT(Busbar Trunking),0.3466666666666667,Discount,Loyalty,Bulk Purchase
637_89,VCU(Vacuum Contactor Units),0.34595524956970736,Discount,Loyalty,Bulk Purchase
637_89,MCCB(Moduled Case Circuit Breaker),0.3408304498269896,Discount,Loyalty,Bulk Purchase
637_89,VCB(Vacuum Circuit Breaker),0.3406408094435076,Discount,Loyalty,Bulk Purchase
