product,region,elasticity,date,actual,predicted
ACB(Air Circuit Breaker),Central,-0.09208787681270722,2025-01-01,124.00000000000003,51.285177256436846
ACB(Air Circuit Breaker),Central,-0.09208787681270722,2025-02-01,90.0,73.01892584532024
ACB(Air Circuit Breaker),Central,-0.09208787681270722,2025-03-01,78.0,66.73963002367496
ACB(Air Circuit Breaker),Central,-0.09208787681270722,2025-04-01,40.999999999999986,65.21228922750265
ACB(Air Circuit Breaker),East,1.590603022300325,2024-10-01,31.000000000000004,7.8727585844855925
ACB(Air Circuit Breaker),East,1.590603022300325,2024-11-01,27.0,5.1695666714144455
ACB(Air Circuit Breaker),East,1.590603022300325,2024-12-01,63.0,14.324297743445774
ACB(Air Circuit Breaker),East,1.590603022300325,2025-01-01,156.0,298.4843226771193
ACB(Air Circuit Breaker),East,1.590603022300325,2025-02-01,69.99999999999997,41.14146189688403
ACB(Air Circuit Breaker),East,1.590603022300325,2025-03-01,37.99999999999999,130.3422616779835
ACB(Air Circuit Breaker),East,1.590603022300325,2025-04-01,9.999999999999998,3.1235383633183016
ACB(Air Circuit Breaker),North,-0.4288359508629207,2024-12-01,98.99999999999999,299.0486044188539
ACB(Air Circuit Breaker),North,-0.4288359508629207,2025-01-01,25.99999999999999,18.18807555707212
ACB(Air Circuit Breaker),North,-0.4288359508629207,2025-02-01,201.0,108.76428103129977
ACB(Air Circuit Breaker),North,-0.4288359508629207,2025-03-01,182.99999999999991,99.0402374835948
ACB(Air Circuit Breaker),North,-0.4288359508629207,2025-04-01,52.999999999999986,60.00654787824255
ACB(Air Circuit Breaker),South,-0.09083176589928914,2025-02-01,74.99999999999997,37.58987466957752
ACB(Air Circuit Breaker),South,-0.09083176589928914,2025-03-01,128.99999999999997,94.48848170987866
ACB(Air Circuit Breaker),South,-0.09083176589928914,2025-04-01,83.99999999999997,52.55175930833308
ACB(Air Circuit Breaker),West,0.40011081253871345,2024-09-01,72.99999999999999,42.7146591371815
ACB(Air Circuit Breaker),West,0.40011081253871345,2024-10-01,97.99999999999996,11.49269414267395
ACB(Air Circuit Breaker),West,0.40011081253871345,2024-11-01,55.99999999999997,25.729057661378715
ACB(Air Circuit Breaker),West,0.40011081253871345,2024-12-01,72.99999999999999,39.9769795213343
ACB(Air Circuit Breaker),West,0.40011081253871345,2025-01-01,63.0,33.779954204485605
ACB(Air Circuit Breaker),West,0.40011081253871345,2025-02-01,236.99999999999986,108.69339939245981
ACB(Air Circuit Breaker),West,0.40011081253871345,2025-03-01,9.999999999999998,2.7762668005835054
ACB(Air Circuit Breaker),West,0.40011081253871345,2025-04-01,4.0,3.1419398194708736
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-04-01,1894.0,2538.6443852035486
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-05-01,3677.0000000000014,2678.194255949172
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-06-01,2504.0,2691.5788363607444
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-07-01,3443.9999999999964,2966.457900715371
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-08-01,3070.9999999999995,2576.8622841158367
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-09-01,2449.9999999999995,2299.9735870911018
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-10-01,2154.999999999999,2028.1589850708933
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-11-01,2614.9999999999986,2209.152768804981
AIS(Air Insulated Switchgear),Central,0.994730033686251,2024-12-01,2519.999999999998,2706.9125328822256
AIS(Air Insulated Switchgear),Central,0.994730033686251,2025-01-01,2621.999999999998,2610.601318883917
AIS(Air Insulated Switchgear),Central,0.994730033686251,2025-02-01,3161.9999999999986,2415.639882656141
AIS(Air Insulated Switchgear),Central,0.994730033686251,2025-03-01,1559.999999999999,2104.7391700163107
AIS(Air Insulated Switchgear),Central,0.994730033686251,2025-04-01,247.00000000000009,2316.550677649536
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-04-01,2603.9999999999995,2886.591819514227
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-05-01,2646.9999999999986,2990.730064019831
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-06-01,2589.0,2298.0048041908367
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-07-01,2265.9999999999986,2792.3344879181077
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-08-01,2279.999999999999,2413.263497482883
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-09-01,3410.999999999999,2414.0784168943846
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-10-01,2839.9999999999986,2839.247788548571
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-11-01,2181.9999999999995,2703.3213811548208
AIS(Air Insulated Switchgear),East,0.48993095584828156,2024-12-01,2421.999999999999,2354.4512709569726
AIS(Air Insulated Switchgear),East,0.48993095584828156,2025-01-01,3166.0000000000005,2028.0982798700213
AIS(Air Insulated Switchgear),East,0.48993095584828156,2025-02-01,1975.9999999999993,2943.6222812831793
AIS(Air Insulated Switchgear),East,0.48993095584828156,2025-03-01,2096.9999999999986,2638.2963629006176
AIS(Air Insulated Switchgear),East,0.48993095584828156,2025-04-01,427.9999999999999,3965.7213300393487
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-04-01,2838.9999999999986,2218.20465053061
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-05-01,3126.0000000000014,2484.8452665234267
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-06-01,2181.0000000000005,2605.3729541602734
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-07-01,2484.9999999999986,2707.35273979772
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-08-01,2941.999999999999,2482.726457977386
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-09-01,2543.9999999999986,2171.1151842069726
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-10-01,2646.9999999999986,2885.7107609413574
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-11-01,3119.0,2371.86784497329
AIS(Air Insulated Switchgear),North,0.5196851606117623,2024-12-01,2703.9999999999986,2413.4215586465925
AIS(Air Insulated Switchgear),North,0.5196851606117623,2025-01-01,2825.999999999998,2891.2957732661357
AIS(Air Insulated Switchgear),North,0.5196851606117623,2025-02-01,2720.9999999999995,2358.700294075431
AIS(Air Insulated Switchgear),North,0.5196851606117623,2025-03-01,3065.9999999999986,2201.37200851221
AIS(Air Insulated Switchgear),North,0.5196851606117623,2025-04-01,208.99999999999997,2394.2866553232916
