product,region,date,forecast
ACB(Air Circuit Breaker),Central,2025-06-01,32.393147557078265
ACB(Air Circuit Breaker),Central,2025-07-01,62.85887784016747
ACB(Air Circuit Breaker),Central,2025-08-01,36.218719423534324
ACB(Air Circuit Breaker),Central,2025-09-01,64.29415819483629
ACB(Air Circuit Breaker),Central,2025-10-01,26.6027767537595
ACB(Air Circuit Breaker),Central,2025-11-01,43.397206160089986
ACB(Air Circuit Breaker),Central,2025-12-01,58.72644939279511
ACB(Air Circuit Breaker),Central,2026-01-01,79.15939337702117
ACB(Air Circuit Breaker),Central,2026-02-01,33.016736011074215
ACB(Air Circuit Breaker),Central,2026-03-01,31.40080681719231
ACB(Air Circuit Breaker),Central,2026-04-01,29.97555945679591
ACB(Air Circuit Breaker),Central,2026-05-01,35.3880166546135
ACB(Air Circuit Breaker),East,2025-06-01,93.16245248472849
ACB(Air Circuit Breaker),East,2025-07-01,172.05977747975558
ACB(Air Circuit Breaker),East,2025-08-01,104.50286059351552
ACB(Air Circuit Breaker),East,2025-09-01,104.16646363825663
ACB(Air Circuit Breaker),East,2025-10-01,61.5562791634651
ACB(Air Circuit Breaker),East,2025-11-01,108.87436721428683
ACB(Air Circuit Breaker),East,2025-12-01,157.81997918858173
ACB(Air Circuit Breaker),East,2026-01-01,93.70986951703097
ACB(Air Circuit Breaker),East,2026-02-01,85.73126282260392
ACB(Air Circuit Breaker),East,2026-03-01,57.477771260653924
ACB(Air Circuit Breaker),East,2026-04-01,87.36173329015729
ACB(Air Circuit Breaker),East,2026-05-01,74.97433659752073
ACB(Air Circuit Breaker),North,2025-06-01,21.9956169131775
ACB(Air Circuit Breaker),North,2025-07-01,143.48333186286928
ACB(Air Circuit Breaker),North,2025-08-01,49.07864935863643
ACB(Air Circuit Breaker),North,2025-09-01,68.45957316456433
ACB(Air Circuit Breaker),North,2025-10-01,74.6493399978422
ACB(Air Circuit Breaker),North,2025-11-01,32.85991758187714
ACB(Air Circuit Breaker),North,2025-12-01,24.39704902511501
ACB(Air Circuit Breaker),North,2026-01-01,19.49224656454304
ACB(Air Circuit Breaker),North,2026-02-01,23.893120591991973
ACB(Air Circuit Breaker),North,2026-03-01,26.5186657229492
ACB(Air Circuit Breaker),North,2026-04-01,33.275594309561804
ACB(Air Circuit Breaker),North,2026-05-01,29.939797536198217
ACB(Air Circuit Breaker),South,2025-06-01,8.208139147698047
ACB(Air Circuit Breaker),South,2025-07-01,21.22142833024317
ACB(Air Circuit Breaker),South,2025-08-01,13.937591498252566
ACB(Air Circuit Breaker),South,2025-09-01,9.347149289262187
ACB(Air Circuit Breaker),South,2025-10-01,20.46544853542497
ACB(Air Circuit Breaker),South,2025-11-01,9.427031729132642
ACB(Air Circuit Breaker),South,2025-12-01,6.202093202859463
ACB(Air Circuit Breaker),South,2026-01-01,11.280619306446209
ACB(Air Circuit Breaker),South,2026-02-01,8.01698019015712
ACB(Air Circuit Breaker),South,2026-03-01,7.413245019532553
ACB(Air Circuit Breaker),South,2026-04-01,11.232448090095946
ACB(Air Circuit Breaker),South,2026-05-01,37.78120240443376
ACB(Air Circuit Breaker),West,2025-06-01,155.71530365269228
ACB(Air Circuit Breaker),West,2025-07-01,180.50414284928152
ACB(Air Circuit Breaker),West,2025-08-01,101.1679996944384
ACB(Air Circuit Breaker),West,2025-09-01,321.3119970238393
ACB(Air Circuit Breaker),West,2025-10-01,195.04232593683457
ACB(Air Circuit Breaker),West,2025-11-01,104.12265222868001
ACB(Air Circuit Breaker),West,2025-12-01,394.35014799493297
ACB(Air Circuit Breaker),West,2026-01-01,103.61902083184853
ACB(Air Circuit Breaker),West,2026-02-01,159.12653137147257
ACB(Air Circuit Breaker),West,2026-03-01,109.57871040265137
ACB(Air Circuit Breaker),West,2026-04-01,36.93784998160716
ACB(Air Circuit Breaker),West,2026-05-01,120.03588238027439
AIS(Air Insulated Switchgear),Central,2025-06-01,2765.9990193124577
AIS(Air Insulated Switchgear),Central,2025-07-01,2849.4545840508868
AIS(Air Insulated Switchgear),Central,2025-08-01,2873.16611971079
AIS(Air Insulated Switchgear),Central,2025-09-01,2666.5515230346905
AIS(Air Insulated Switchgear),Central,2025-10-01,2902.006261960177
AIS(Air Insulated Switchgear),Central,2025-11-01,3033.0407885426325
AIS(Air Insulated Switchgear),Central,2025-12-01,2390.4017853253918
AIS(Air Insulated Switchgear),Central,2026-01-01,2967.8312049847427
AIS(Air Insulated Switchgear),Central,2026-02-01,2908.4696457135774
AIS(Air Insulated Switchgear),Central,2026-03-01,2689.4392530278706
AIS(Air Insulated Switchgear),Central,2026-04-01,2841.9972413490095
AIS(Air Insulated Switchgear),Central,2026-05-01,2977.59846211827
AIS(Air Insulated Switchgear),East,2025-06-01,3145.5307983140665
AIS(Air Insulated Switchgear),East,2025-07-01,3086.155441911887
AIS(Air Insulated Switchgear),East,2025-08-01,2786.3458836532236
AIS(Air Insulated Switchgear),East,2025-09-01,3000.18499819751
AIS(Air Insulated Switchgear),East,2025-10-01,2885.2243996512384
AIS(Air Insulated Switchgear),East,2025-11-01,2424.01881414181
AIS(Air Insulated Switchgear),East,2025-12-01,2807.337772341569
AIS(Air Insulated Switchgear),East,2026-01-01,2664.4871997033756
AIS(Air Insulated Switchgear),East,2026-02-01,2564.4627733851244
AIS(Air Insulated Switchgear),East,2026-03-01,2114.114402879828
AIS(Air Insulated Switchgear),East,2026-04-01,2860.35248573241
AIS(Air Insulated Switchgear),East,2026-05-01,2906.1161830012165
AIS(Air Insulated Switchgear),North,2025-06-01,2420.0612725679534
AIS(Air Insulated Switchgear),North,2025-07-01,2765.10301229954
AIS(Air Insulated Switchgear),North,2025-08-01,3212.850480291199
AIS(Air Insulated Switchgear),North,2025-09-01,3197.7503913781716
AIS(Air Insulated Switchgear),North,2025-10-01,3091.2922850615964
AIS(Air Insulated Switchgear),North,2025-11-01,2391.459472275326
AIS(Air Insulated Switchgear),North,2025-12-01,3131.285742423164
AIS(Air Insulated Switchgear),North,2026-01-01,2425.4707082048144
AIS(Air Insulated Switchgear),North,2026-02-01,3103.3260603696453
AIS(Air Insulated Switchgear),North,2026-03-01,3416.622028727423
AIS(Air Insulated Switchgear),North,2026-04-01,2788.834219477473
AIS(Air Insulated Switchgear),North,2026-05-01,2262.723704260322
